"Item","Formula","Category","Reverse Engineering Points","Aquired by"
"Gardening Kit or Harvesting Sickle","5 Spoiled Food, 41 Wood, 15 Boiled Water, 15 Gravel","Production","","Settlement Containers"
"Gatling Cannon I","","Combat","",""
"Grenade","Only through Cultural Artifacts or unlocking with Tech Points","Combat","",""
"Grilled Mushrooms","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Grow Lights","2 Electronic Parts, 13 Glass, 5 Metal Scraps, 3 Parts ","Production","",""
"Gunpowder and Copper Ammunition","1 Copper Ingot, 1 Gunpowder","Combat","","Settlement Containers"
"HE Grenade","Only through Cultural Artifacts or unlocking with Tech Points","Combat","",""
"High Explosives","1 Mixed Explosives, 4 Rubber, 1 Electronic Parts, 5 Alloy Steel Ingot","Combat","","Settlement Containers"
"Hybrid Electric Furnace","1 Welding Machine, 55 Silver Ore, 23 Tungsten Ingots, 1 Power Cable, 2 Parts, 2 Electronic Parts","Production","","Recycling Tool Pick-up"
"Ice Melon","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Iced Mint Tea","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Imitation Decor I","","Production","",""
"Imitation Decor II","","Production","",""
"Improved Compound Fertilizer","","Production","","Settlement Containers"
"Improved Deviation Energy Generator","","Build","","Recycling Tool Pick-up"
"Improved Drones","","Combat","",""
"Improved Large Biomass Generator","","Build","","Recycling Tool Pick-up"
"Improved Large Hydropower Generator","","Build","","Recycling Tool Pick-up"
"Improved Large Solar Generator","","Build","","Recycling Tool Pick-up"
"Isolated Securement Unit","6 Glass, 17 Metal Scrap, 13 Copper Ingot","Build","","Recycling Tool Pick-up"
"Juice","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Large Biomass Generator","","Build","","Recycling Tool Pick-up"
"Large Garage","25 Tungsten Ingots, 3 Electronic Parts, 33 Parts","Build","","Recycling Tool Pick-up"
"Large Hydropower Generator","","Build","","Recycling Tool Pick-up"
"Large Refinery Facility","","Production","",""
"Large Solar Generator","97 Steel Ingots, 13 Glass, 13 Plastic, 13 Parts, 13 Electronic Parts, 2 Fuses","Build","","Recycling Tool Pick-up"
"Large Storage Crate","5 Rubber, 5 Parts, 17 Iron Ingots","Build","","Recycling Tool Pick-up"
"Large Water Filter","2 Power Cable, 8 Parts, 9 Electronic Parts, 13 Rubber, 13 Alloy Steel Ingots, 25 Adhesive","Survival","",""
"Light","2 Glass, 1 Electric Part, 2 Copper Ingot","Build","",""
"Lightning Orb I","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Lightning Orb II","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Lightning Rod","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Livestock Facility","","Production","",""
"Load Handling","","Survival","","Settlement Containers"
"Logging Chainsaw","Only through Cultural Artifacts or unlocking with Tech Points","Production","",""
"Logging Platform","","Production","",""
"Lucky Logging Platform","","Production","",""
"Lumen","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"M700","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"Mailbox","6 Iron Ore, 21 Wood","Build","",""
"Manikin","","Combat","",""
"Meat Drier","10 Iron Ingot, 17 Wood, 8 Metal Scrap","Survival","","Recycling Tool Pick-up"
"Medicine Supplies Bench","","Production","",""
"Medium Caliber AP Ammo","","Combat","1","Settlement Containers"
"Medium Caliber Demolition Ammo","","Combat","",""
"Medium Garage","20 Steel Ingots, 13 Parts, 1 Electronic Part","Build","","Recycling Tool Pick-up"
"MG4","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"Mining Platform","","Production","",""
"Molotov Cocktail","Only through Cultural Artifacts or unlocking with Tech Points","Combat","",""
"Morphed Circular Lights","1 Wood, 6 Adhesive, 1 Electronic Part, 9 Rubber","Build","",""
"MPS7","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"Mr. Wish's Rocket Launcher","","Combat","",""
"Nightmare Lantern","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Photo Frame Kit","2 Adhesive, 21 Wood","Build","",""
"Pistol AP Ammo","","Combat","1","Settlement Containers"
"Pistol Demolition Ammo","","Combat","",""
"Polar Expedition","","Exclusive","",""
"Portable Machine Gun Towers","","Combat","",""
"Portable Rainwater Collection System","","Survival","",""
"Portable Thermostat","17 Steel Ingot, 8 Copper Ingot, 7 Plastic, 9 Electric Parts, 4 Stardust Source","Exclusive","",""
"Precious Metal Refining","","Production","",""
"Primary Boost Feed","Only through Cultural Artifacts or unlocking with Tech Points","Production","25","Settlement Containers"
"Primary Gear Workbench","Unlocked by default","Combat","","Recycling Tool Pick-up"
"Primary Stove","Unlocked by default","Survival","","Recycling Tool Pick-up"
"Primary Supplies Bench","17 Copper Ore, 25 Wood","Production","","Recycling Tool Pick-up"
"Private Storage Crate","7 Iron Ingot, 5 Parts, 5 Scrap Metal","Build","","Recycling Tool Pick-up"
"Pumpkin Porridge","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Radio","5 Parts, 1 Electronic Part, 2 Plastic, 2 Copper Ingot, 9 Wood","Build","",""
"Rainwater Collection System","3 Rubber, 25 Wood, 13 Fiber","Survival","","Recycling Tool Pick-up"
"Reality Resetol","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Recycling Electric Furnace","1 Welding Machine, 1 Electric Cable, 100 Tungsten Ingots, 100 Gold Ore, 11 Electric Parts, 11 Parts","Production","","Recycling Tool Pick-up"
"Recycling Tool","Unlocked by default","Production","",""
"Red Plasma Rounds","Only through Cultural Artifacts or unlocking with Tech Points","Combat","",""
"Reinforced Structures","Research ""Reverse-Engineered Blueprint: Reinforced Structures""","Build","","Settlement Containers"
"Roasted Meat","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Roasted Vegetables","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Roasted Wild Berries","Unlocked by default","Survival","",""
"Rocket Launchers","","Combat","",""
"Rustic Crossbow","Unlocked by default","Combat","",""
"Rustic Set","Unlocked by default","Combat","",""
"Salty Roasted Spikemato","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Sandbags","3 Fabric, 21 Gravel","Combat","","Recycling Tool Pick-up"
"Sanity Capsule","Only through Cultural Artifacts","Survival","","Settlement Containers"
"Sanity Corrosion Capsule","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Shelter","4 Copper Ingots, 1 Wood, 5 Metal Scraps","Combat","",""
"Shield Matrix","8 Control Unit, 11 Batteries, 11 Parts, 8 Electronic Parts, 13 Stardust Source,","Combat","",""
"Shotgun AP Ammo","Only through Cultural Artifacts or unlocking with Tech Points","Combat","1","Settlement Containers"
"Shotgun Demolition Ammo","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"Shrapnel Grenade","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"Simple Healing Ointment","Only through Cultural Artifacts or unlocking with Tech Points","Survival","","Settlement Containers"
"Simple Seasoning","Only through Cultural Artifacts or unlocking with Tech Points","Survival","","Settlement Containers"
"Small Biomass Generator","33 Iron Ingots, 5 Parts, 5 Plastic, 13 Electrical Parts, 2 Fuse","Build","","Recycling Tool Pick-up"
"Small Garage","10 Iron Ingot, 9 Parts","Build","","Recycling Tool Pick-up"
"Small Hydropower Generator","121 Steel Ingots, 50 Wood, 15 Plastic, 15 Parts, 15 Electronic Parts, 6 Fuses","Build","","Recycling Tool Pick-up"
"Small Refinery Facility","5 Electronic Parts, 1 Power Cable, 9 Parts, 35 Steel Ingots, 13 Copper Ingots","Production","","Recycling Tool Pick-up"
"Small Solar Generator","97 Steel Ingots, 13 Glass, 13 Plastic, 13 Parts, 13 Electronic Parts, 2 Fuses","Build","","Recycling Tool Pick-up"
"Small Storage Crate","2 Metal Scrap, 25 Wood","Build","","Recycling Tool Pick-up"
"Sniper Rifle Demolition Ammo","Only through Cultural Artifacts or unlocking with Tech Points","Combat","",""
"Solar Drill","Only through Cultural Artifacts or unlocking with Tech Points","Production","",""
"Special Storage Crate","5 Rubber, 2 Parts, 10 Copper Ingot","Build","","Settlement Containers"
"Spectral Canned Soup","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Spectral Cloak","19 Silver Ore, 25 Stardust Source, 11 Fiber, 19 Electronic Parts","Combat","",""
"Spicy Sizzling Meat","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"SR AP Ammo","Only through Cultural Artifacts or unlocking with Tech Points","Combat","1","Settlement Containers"
"Stardust Craft","","Production","",""
"Stardust Filter","","Production","",""
"Stardust Fusion Stove","","Survival","","Recycling Tool Pick-up"
"Stardust Malt Ale","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Stardust Mining Platform","","Production","",""
"Stardust Refinery","","Production","",""
"Stardust-Powered Electric Furnace","","Production","",""
"Steel-Tip Arrow","Only through Cultural Artifacts or unlocking with Tech Points","Combat","",""
"Stone Structure","Unlocked by default","Build","",""
"Storage Battery","17 Acid, 13 Steel Ingots, 6 Electronic Parts, 17 Rubber","Build","","Settlement Containers"
"Storage Crates","5 Copper Ingots, 9 Parts, 8 Steel Ingots","Build","","Recycling Tool Pick-up"
"Synthesis Bench","","Combat","","Recycling Tool Pick-up"
"Table","","Build","","Recycling Tool Pick-up"
"Tech Research Bench","Unlocked by default","Production","","Recycling Tool Pick-up"
"Thorough Healing Treatment","Only through Cultural Artifacts or unlocking with Tech Points","Survival","8","Settlement Containers"
"Throwing Dagger","Unlocked by default","Combat","",""
"Torch","Unlocked by default","Combat","",""
"Treatment","1 Glass, 3 Rubber, 1 Boiled Water, 1 Acid, 1 Detoxient","Survival","3","Settlement Containers"
"Tungsten Craft","Only through Cultural Artifacts or unlocking with Tech Points","Production","",""
"Veil of Tranquility","37 Stardust Ingots, 10 Parts, 1 Power Cable, 13 Electronic Parts","Combat","",""
"Vending Machine","3 Electronic Parts, 3 Glass, 1 Power Cable, 7 Parts, 25 Steel Ingots, 13 Copper Ingots","Build","","Recycling Tool Pick-up"
"Water Pumps","17 Electronic Parts, 17 Fiber, 17 Parts, 29 Steel Ingots","Production","",""
"Water Tank","","Survival","","Recycling Tool Pick-up"
"Weapon Rack","9 Copper Ingots, 3 Alloy Steel Ingots","Build","","Recycling Tool Pick-up"
"Whistle","1 Electronic Part, 4 Steel Ingot","Production","",""
"Wildfire Flamethrower","","Combat","",""
"Wooden Structure","Unlocked by default","Build","",""
"Wooden Weapon Body","1 Rawhide, 41 Wood","Combat","",""
"Youngling Hut","","Production","",""
"Zipline","Research ""Reverse-Engineered Blueprint: Zipline""","Build","","Settlement Containers"
"Straight Ladder","Only through Cultural Artifacts or unlocking with Tech Points","Build","","Settlement Containers"
