"Help improving the list! Add your findings (Form Link)
Other Feedback/Suggestions/Discoveries? You can reach out to me on Discord: prototyze AVG%","r-Index","Technology Node","Unlock
Tech Pts.","Reverse
Tech Pts.","Minimum
Tech Level","","","TL#","Invention Tech %","","Component 1","","Legend: ","","Component 2","TL = Tech Level | r-Index = Quality of Invention, based on Quantity of Components used & their Rarity (Common-Legendary)
The lower an r-Index with same Invention Tech % is at a specific Tech Level, the better (fewer resources used for Invention) ","","","Component 3","","","","Component 4","","","","Component 5","","","","Component 6","",""
"59%","0.63","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","4","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","85%","17","","Plastic","53%","8","","Part","53%","8","","Metal Scrap","100%","1","","Steel Pliers"
"44%","0.56","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","6","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","33%","5","","Part","33%","5","","Metal Scrap","100%","1","","Steel Pliers"
"64%","0.65","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","6","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","40%","8","","Plastic","127%","19","","Part","53%","8","","Metal Scrap","100%","1","","Steel Pliers"
"64%","0.65","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","8","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","40%","8","","Plastic","127%","19","","Part","53%","8","","Metal Scrap","100%","1","","Steel Pliers"
"80%","0.71","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","10","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","140%","21","","Part","140%","21","","Metal Scrap","100%","1","","Steel Pliers"
"60%","0.63","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","11","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","33%","5","","Part","127%","19","","Metal Scrap","100%","1","","Steel Pliers"
"60%","0.63","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","12","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","33%","5","","Part","127%","19","","Metal Scrap","100%","1","","Steel Pliers"
"100%","0.00","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","0","Default","100%","75","","Tungsten Ingot","100%","180","","Silver Ore","100%","5","","Electronic Part","100%","5","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"57%","0.83","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","4","Low","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"117%","1.16","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","4","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","100%","5","","Electronic Part","340%","17","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"87%","0.99","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","6","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","220%","11","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"107%","1.10","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","6","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","340%","17","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"74%","1.10","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","6","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"87%","0.99","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","8","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","220%","11","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"87%","0.99","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","8","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","220%","11","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"74%","1.10","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","8","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"87%","0.99","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","9","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","220%","11","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"87%","0.99","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","9","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","220%","11","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"74%","1.10","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","9","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"104%","1.26","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","10","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","220%","11","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"104%","1.26","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","10","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","220%","11","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"90%","1.56","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","10","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","200%","2","","Welding Machine"
"104%","1.26","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","11","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","220%","11","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"104%","1.26","Hybrid Electric Furnace","6,000","2,000","Tech Level 4","","","12","Medium","31%","23","","Tungsten Ingot","31%","55","","Silver Ore","40%","2","","Electronic Part","220%","11","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"100%","0.00","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","0","Default","100%","150","","Tungsten Ingot","100%","75","","Gold Ore","100%","100","","Stardust Source","100%","40","","Part","100%","8","","Fuse","100%","1","","Custom Cable"
"44%","0.49","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","4","Low","31%","46","","Tungsten Ingot","31%","23","","Gold Ore","31%","31","","Stardust Source","33%","13","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"60%","0.64","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","4","Medium","31%","46","","Tungsten Ingot","31%","23","","Gold Ore","81%","81","","Stardust Source","83%","33","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"52%","0.62","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","6","Medium","31%","46","","Tungsten Ingot","31%","23","","Gold Ore","81%","81","","Stardust Source","33%","13","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"52%","0.62","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","8","Medium","31%","46","","Tungsten Ingot","31%","23","","Gold Ore","81%","81","","Stardust Source","33%","13","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"47%","0.54","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","9","Medium","31%","46","","Tungsten Ingot","31%","23","","Gold Ore","51%","51","","Stardust Source","33%","13","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"44%","0.49","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","10","Medium","31%","46","","Tungsten Ingot","31%","23","","Gold Ore","31%","31","","Stardust Source","33%","13","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"47%","0.54","Improved Deviation Energy Generator","6,000","2,000","Tech Level 4","","","12","Medium","31%","46","","Tungsten Ingot","31%","23","","Gold Ore","51%","51","","Stardust Source","33%","13","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"100%","0.00","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","0","Default","100%","80","","Tungsten Ingot","100%","180","","Silver Ore","100%","75","","Wood","100%","30","","Part","100%","8","","Fuse","100%","1","","Custom Cable"
"44%","0.64","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","4","Low","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","31%","23","","Wood","33%","10","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"61%","0.73","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","4","Medium","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","81%","61","","Wood","83%","25","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"52%","0.69","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","6","Medium","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","31%","23","","Wood","83%","25","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"52%","0.69","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","8","Medium","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","31%","23","","Wood","83%","25","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"53%","0.69","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","8","Medium","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","83%","62","","Wood","37%","11","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"56%","0.71","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","8","Medium","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","101%","76","","Wood","33%","10","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"44%","0.64","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","10","Medium","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","31%","23","","Wood","33%","10","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"44%","0.64","Improved Large Hydropower Generator","6,000","2,000","Tech Level 4","","","12","Medium","31%","25","","Tungsten Ingot","31%","55","","Silver Ore","31%","23","","Wood","33%","10","","Part","38%","3","","Fuse","100%","1","","Custom Cable"
"100%","0.00","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","0","Default","100%","40","","Tungsten Ingot","100%","75","","Gold Ore","100%","15","","Electronic Part","100%","10","","Glass","100%","5","","Fuse","100%","1","","Custom Cable"
"46%","0.55","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","4","Low","33%","13","","Tungsten Ingot","31%","23","","Gold Ore","33%","5","","Electronic Part","40%","4","","Glass","40%","2","","Fuse","100%","1","","Custom Cable"
"56%","0.61","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","4","Medium","33%","13","","Tungsten Ingot","31%","23","","Gold Ore","53%","8","","Electronic Part","60%","6","","Glass","60%","3","","Fuse","100%","1","","Custom Cable"
"46%","0.55","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","6","Medium","33%","13","","Tungsten Ingot","31%","23","","Gold Ore","33%","5","","Electronic Part","40%","4","","Glass","40%","2","","Fuse","100%","1","","Custom Cable"
"49%","0.59","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","8","Medium","33%","13","","Tungsten Ingot","31%","23","","Gold Ore","33%","5","","Electronic Part","40%","4","","Glass","60%","3","","Fuse","100%","1","","Custom Cable"
"46%","0.55","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","9","Medium","33%","13","","Tungsten Ingot","31%","23","","Gold Ore","33%","5","","Electronic Part","40%","4","","Glass","40%","2","","Fuse","100%","1","","Custom Cable"
"64%","0.64","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","10","Medium","33%","13","","Tungsten Ingot","31%","23","","Gold Ore","33%","5","","Electronic Part","130%","13","","Glass","60%","3","","Fuse","100%","1","","Custom Cable"
"61%","0.61","Improved Large Solar Generator","6,000","2,000","Tech Level 4","","","12","Medium","33%","13","","Tungsten Ingot","31%","23","","Gold Ore","33%","5","","Electronic Part","130%","13","","Glass","40%","2","","Fuse","100%","1","","Custom Cable"
"100%","0.00","Large Refinery Facility","6,000","2,000","Tech Level 4","","","0","Default","100%","20","","Copper Ingot","100%","40","","Steel Alloy","100%","5","","Electronic Part","100%","10","","Part","100%","1","","Power Cable","","","",""
"50%","0.64","Large Refinery Facility","6,000","2,000","Tech Level 4","","","4","Low","35%","7","","Copper Ingot","33%","13","","Steel Alloy","40%","2","","Electronic Part","40%","4","","Part","100%","1","","Power Cable","","","",""
"54%","0.67","Large Refinery Facility","6,000","2,000","Tech Level 4","","","4","Medium","35%","7","","Copper Ingot","33%","13","","Steel Alloy","40%","2","","Electronic Part","60%","6","","Part","100%","1","","Power Cable","","","",""
"104%","1.03","Large Refinery Facility","6,000","2,000","Tech Level 4","","","6","Medium","35%","7","","Copper Ingot","33%","13","","Steel Alloy","220%","11","","Electronic Part","130%","13","","Part","100%","1","","Power Cable","","","",""
"104%","1.03","Large Refinery Facility","6,000","2,000","Tech Level 4","","","8","Medium","35%","7","","Copper Ingot","33%","13","","Steel Alloy","220%","11","","Electronic Part","130%","13","","Part","100%","1","","Power Cable","","","",""
"124%","1.45","Large Refinery Facility","6,000","2,000","Tech Level 4","","","10","Medium","35%","7","","Copper Ingot","33%","13","","Steel Alloy","220%","11","","Electronic Part","130%","13","","Part","200%","2","","Power Cable","","","",""
"124%","1.45","Large Refinery Facility","6,000","2,000","Tech Level 4","","","12","Medium","35%","7","","Copper Ingot","33%","13","","Steel Alloy","220%","11","","Electronic Part","130%","13","","Part","200%","2","","Power Cable","","","",""
"100%","0.00","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","0","Default","100%","50","","Tungsten Ingot","100%","180","","Silver Ore","100%","20","","Plastic","100%","15","","Part","100%","10","","Rubber","100%","1","","Versatile Screwdriver Set"
"45%","0.71","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","4","Low","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","35%","7","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"61%","0.82","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","4","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","35%","7","","Plastic","127%","19","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"76%","0.92","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","8","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","125%","25","","Plastic","127%","19","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"61%","0.82","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","9","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","35%","7","","Plastic","127%","19","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"60%","0.81","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","10","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","35%","7","","Plastic","33%","5","","Part","130%","13","","Rubber","100%","1","","Versatile Screwdriver Set"
"60%","0.81","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","10","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","125%","25","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"61%","0.82","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","10","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","35%","7","","Plastic","127%","19","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"75%","0.91","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","11","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","125%","25","","Plastic","33%","5","","Part","130%","13","","Rubber","100%","1","","Versatile Screwdriver Set"
"60%","0.81","Medicine Supplies Workbench","6,000","2,000","Tech Level 4","","","12","Medium","32%","16","","Tungsten Ingot","31%","55","","Silver Ore","125%","25","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"100%","0.00","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","0","Default","100%","75","","Tungsten Ingot","100%","75","","Gold Ore","100%","5","","Electronic Part","100%","5","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"57%","0.67","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","4","Low","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"117%","0.89","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","4","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","100%","5","","Electronic Part","340%","17","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"87%","0.78","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","6","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","220%","11","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"107%","0.85","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","6","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","340%","17","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"74%","0.85","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","6","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"87%","0.78","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","8","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","220%","11","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"87%","0.78","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","8","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","220%","11","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"74%","0.85","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","8","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"87%","0.78","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","9","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","220%","11","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"87%","0.78","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","9","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","220%","11","","Electronic Part","40%","2","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"74%","0.85","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","9","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"104%","0.97","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","10","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","220%","11","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"104%","0.97","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","10","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","220%","11","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"90%","1.17","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","10","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","200%","2","","Welding Machine"
"104%","0.97","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","12","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","2","","Electronic Part","220%","11","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"104%","0.97","Recycling Electric Furnace","6,000","2,000","Tech Level 4","","","12","Medium","31%","23","","Tungsten Ingot","31%","23","","Gold Ore","220%","11","","Electronic Part","40%","2","","Part","200%","2","","Power Cable","100%","1","","Welding Machine"
"100%","0.00","Stardust Fusion Stove","6,000","2,000","Tech Level 4","","","0","Default","100%","50","","Tungsten Ingot","100%","75","","Gold Ore","100%","10","","Electronic Part","100%","20","","Part","100%","1","","Power Cable","100%","1","","Oven Mitts"
"59%","0.67","Stardust Fusion Stove","6,000","2,000","Tech Level 4","","","4","Low","46%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","4","","Electronic Part","35%","7","","Part","100%","1","","Power Cable","100%","1","","Oven Mitts"
"67%","0.70","Stardust Fusion Stove","6,000","2,000","Tech Level 4","","","4","Medium","46%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","4","","Electronic Part","85%","17","","Part","100%","1","","Power Cable","100%","1","","Oven Mitts"
"89%","0.78","Stardust Fusion Stove","6,000","2,000","Tech Level 4","","","8","Medium","46%","23","","Tungsten Ingot","31%","23","","Gold Ore","130%","13","","Electronic Part","125%","25","","Part","100%","1","","Power Cable","100%","1","","Oven Mitts"
"90%","0.92","Stardust Fusion Stove","6,000","2,000","Tech Level 4","","","","Medium","46%","23","","Tungsten Ingot","31%","23","","Gold Ore","40%","4","","Electronic Part","125%","25","","Part","200%","2","","Power Cable","100%","1","","Oven Mitts"
"100%","0.00","Stardust Mining Platform","6,000","2,000","Tech Level 4","","","0","Default","100%","60","","Tungsten Ingot","100%","80","","Stardust Source","100%","20","","Rubber","100%","15","","Adhesive","100%","1","","Power Cable","100%","2","","Storage Battery"
"55%","0.51","Stardust Mining Platform","6,000","2,000","Tech Level 4","","","4","Low","32%","19","","Tungsten Ingot","31%","25","","Stardust Source","35%","7","","Rubber","33%","5","","Adhesive","100%","1","","Power Cable","100%","2","","Storage Battery"
"60%","0.53","Stardust Mining Platform","6,000","2,000","Tech Level 4","","","4","Medium","32%","19","","Tungsten Ingot","31%","25","","Stardust Source","35%","7","","Rubber","60%","9","","Adhesive","100%","1","","Power Cable","100%","2","","Storage Battery"
"55%","0.51","Stardust Mining Platform","6,000","2,000","Tech Level 4","","","6","Medium","32%","19","","Tungsten Ingot","31%","25","","Stardust Source","35%","7","","Rubber","33%","5","","Adhesive","100%","1","","Power Cable","100%","2","","Storage Battery"
"55%","0.51","Stardust Mining Platform","6,000","2,000","Tech Level 4","","","8","Medium","32%","19","","Tungsten Ingot","31%","25","","Stardust Source","35%","7","","Rubber","33%","5","","Adhesive","100%","1","","Power Cable","100%","2","","Storage Battery"
"75%","0.80","Stardust Mining Platform","6,000","2,000","Tech Level 4","","","12","Medium","32%","19","","Tungsten Ingot","31%","25","","Stardust Source","35%","7","","Rubber","53%","8","","Adhesive","200%","2","","Power Cable","100%","2","","Storage Battery"
"72%","0.78","Stardust Mining Platform","6,000","2,000","Tech Level 4","","","","Medium","32%","19","","Tungsten Ingot","31%","25","","Stardust Source","35%","7","","Rubber","33%","5","","Adhesive","200%","2","","Power Cable","100%","2","","Storage Battery"
"100%","0.00","Stardust-Powered Electric Furnace","6,000","2,000","Nope","","","0","Default","100%","75","","Tungsten Ingot","100%","75","","Gold Ore","100%","5","","Electronic Part","100%","5","","Part","100%","1","","Power Cable","100%","1","","Welding Machine"
"100%","0.00","Defense Trap 3","4,000","","Tech Level 4","","","0","Default","100%","20","","Tungsten Ingot","100%","30","","Electronic Part","100%","25","","Part","","","","","","","","","","","",""
"33%","0.33","Defense Trap 3","4,000","","Tech Level 4","","","4","Low","35%","7","","Tungsten Ingot","33%","10","","Electronic Part","32%","8","","Part","","","","","","","","","","","",""
"65%","0.65","Defense Trap 3","4,000","","Tech Level 4","","","4","Medium","125%","25","","Tungsten Ingot","37%","11","","Electronic Part","32%","8","","Part","","","","","","","","","","","",""
"%","0.00","Defense Trap 3","4,000","","Tech Level 4","","","8","Low","%","","","Tungsten Ingot","%","","","Electronic Part","%","","","Part","","","","","","","","","","","",""
"100%","0.00","Deviation Energy Generator","4,000","1,330","Nope","","","0","Default","100%","150","","Tungsten Ingot","100%","40","","Electronic Part","100%","40","","Part","100%","100","","Stardust Source","100%","8","","Fuse","100%","1","","Diode"
"100%","0.00","Large Garage","4,000","1,330","Tech Level 4","","","0","Default","100%","30","","Tungsten Ingot","100%","5","","Electronic Part","100%","40","","Part","","","","","","","","","","","",""
"35%","0.35","Large Garage","4,000","1,330","Tech Level 4","","","4","Low","33%","10","","Tungsten Ingot","40%","2","","Electronic Part","33%","13","","Part","","","","","","","","","","","",""
